Anime,Spot Name,Prefecture,City,Description
Your Name,Suga Shrine Stairs,Tokyo,Shinjuku,Famous staircase featured in the ending scene of Your Name.
Your Name,Hida-Furukawa Station,Gifu,Hida,Railway station that inspired scenes from the film.
Your Name,Hida City Library,Gifu,Hida,Library visited by fans due to its appearance in the movie.
Your Name,Keta Wakamiya Shrine,Gifu,Hida,Shrine associated with locations from the story.
Your Name,Furukawa Festival Exhibition Hall,Gifu,Hida,Related to scenes inspired by local culture.
Slam Dunk,Kamakura High School Crossing,Kanagawa,Kamakura,The iconic railroad crossing from the anime opening.
Slam Dunk,Shichirigahama Beach,Kanagawa,Kamakura,Scenic beach associated with the series atmosphere.
Slam Dunk,Enoshima,Kanagawa,Fujisawa,Famous sightseeing area near key anime locations.
Slam Dunk,Kamakura Kokomae Station,Kanagawa,Kamakura,Station overlooking the famous crossing.
Slam Dunk,Shonan Coast,Kanagawa,Fujisawa,Coastal area associated with the series setting.
K-On!,Toyosato Elementary School,Shiga,Toyosato,Model for Sakuragaoka High School.
K-On!,Toyosato Station,Shiga,Toyosato,Nearest station to the main pilgrimage site.
K-On!,Demachiyanagi Station,Kyoto,Kyoto,Location associated with scenes from the series.
K-On!,Shugakuin Station,Kyoto,Kyoto,Area believed to inspire background scenes.
K-On!,Sanzen-in Temple Road,Kyoto,Kyoto,Area visited by fans during pilgrimage trips.
Sound! Euphonium,Uji Bridge,Kyoto,Uji,One of the most recognizable locations in the anime.
Sound! Euphonium,Keihan Uji Station,Kyoto,Uji,Station frequently appearing in the series.
Sound! Euphonium,Daikichiyama Observatory,Kyoto,Uji,Viewpoint featured in emotional scenes.
Sound! Euphonium,Uji River,Kyoto,Uji,Important backdrop throughout the story.
Sound! Euphonium,Byodoin Omotesando,Kyoto,Uji,Shopping street visited by fans.
Evangelion,Hakone Yumoto Station,Kanagawa,Hakone,Gateway to many Evangelion-themed locations.
Evangelion,Lake Ashi,Kanagawa,Hakone,Scenic lake associated with Tokyo-3 imagery.
